title,content,url,sub_title,year
The evolution of the genome,"… -authored discussions of the key areas in genome biology. This includes the evolution of 
genome size, genomic parasites, gene and ancient genome duplications, polypoidy, comparative 
genomics, and the implications of these genome-level phenomena for evolutionary theory. …",https://www.google.com/books?hl=zh-CN&lr=&id=8HtPZP9VSiMC&oi=fnd&pg=PP2&dq=plant+genome+project&ots=Dt1dhE7Tnt&sig=Sri2LAEjBKRe_mg2yuy8_P0P_GY,TR Gregory - 2011 - books.google.com,0
The first ten years of plant genome sequencing and prospects for the next decade,"… of genome-wide polymorphism in a plant species, and ushered in the era of plant population 
… genome-wide scope), now a major thrust of plant genome research. One final virtue of the 
Arabidopsis genome project that merits attention is the path it blazed for future plant genome …",https://link.springer.com/chapter/10.1007/978-3-7091-1130-7_1,"LE Flagel, BK Blackman - Plant Genome Diversity Volume 1, 2012 - Springer",2012
Date palm genome project at the Kingdom of Saudi Arabia,"… We will build scaffolds and try to finish the sequence assembly by using various tools for 
large plant genome assemblies, such as those used for the date palm and tomato genomes. 
We are also optimistic about new algorithms and tools being developed by research groups …",https://link.springer.com/chapter/10.1007/978-94-007-1318-5_21,"X Zhang, J Tan, M Yang, Y Yin, IS Al-Mssallem… - Date palm …, 2011 - Springer",2011
The role of the genome project in determining gene function: insights from model organisms,"… cerevisiae genome project indicate that there are roughly 5800 protein-coding genes in the 
genome of this fungus ( … The genome project and transgenic data will not only help to 
determine the extent to which functional interchangeability at the gene level is possible among …",https://www.cell.com/fulltext/S0092-8674(00)80126-9,"GLG Miklos, GM Rubin - Cell, 1996 - cell.com",1996
Orchestrating the human genome project,"… and other typical large science projects on the ordinary researcher whose projects are not 
directly related to the genome project. First, the … resource to uncover comparable animal or 
plant genes. What will happen after the completion of the genome project? Will we be left with …",https://science.sciencemag.org/content/248/4951/49.abstract,"CR Cantor - Science, 1990 - science.sciencemag.org",1990
Slow start for US rice genome project,"… US researchers last year urged the government to pay half the cost of sequencing this 
plant's genome, but federal agencies now seem barely able to come up with the 10% (about 
$20 million) expected from the US Department of Agriculture (USDA). This shortfall could …",https://science.sciencemag.org/content/282/5389/653.summary,American Association for the Advancement of Science - 1998 - science.sciencemag.org,0
Plant genome sequencing: applications for crop improvement,"… The association of markers with heritable traits is used to associate the genotype of an 
organism with the expressed phenotype, and the ability to develop millions of novel markers will 
revolutionize plant genomic research. These markers can be used routinely in crop breeding …",https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1467-7652.2009.00459.x,"D Edwards, J Batley - Plant biotechnology journal, 2010 - Wiley Online Library",2010
Architecture and evolution of a minute plant genome,"… the evolution of plant genome size is principally unidirectional and increasing owing to 
the varied action of whole-genome duplications (… Here we report the sequence of the 82-megabase 
genome of the carnivorous bladderwort plant Utricularia gibba. Despite its tiny size, the …",https://www.nature.com/articles/nature12132,"E Ibarra-Laclette, E Lyons, G Hernández-Guzmán… - Nature, 2013 - nature.com",2013
Progress in plant genome sequencing: research directions.,"… As a result of an improved genome assembly and analysis methods, genome sequencing 
costs plummeted and the number of high-quality plant genome sequences is constantly 
growing. Consequently, more than 300 plant genome sequences have been published over the …",https://www.cabdirect.org/cabdirect/abstract/20203382223,"MK Bragina, DA Afonnikov, EA Salina - Vavilovskij Žurnal Genetiki i …, 2019 - cabdirect.org",2019
"Genes, genomes, genomics. What can plant biologists expect from the 1998 national science foundation plant genome research program?","… The first round of NSF plant genome projects includes many mapping projects with diverse 
long-term goals but similar experimental … The goal of this research is to prepare stable 
mammalian cell lines carrying approximately 1% of a plant genome. These cell lines would …",https://academic.oup.com/plphys/article-abstract/119/4/1151/6096198,"V Walbot - Plant physiology, 1999 - academic.oup.com",1999
Crop genome sequencing: lessons and rationales,"… Stimulated by the success of the human genome project and the prospect of DNA sequencing 
becoming a routine medical practice, the costs in sequencing have been reduced by over 
10 000 times during the past ten years [2]. With further reductions in cost and time for DNA …",https://www.sciencedirect.com/science/article/pii/S1360138510002311,"C Feuillet, JE Leach, J Rogers, PS Schnable… - Trends in plant …, 2011 - Elsevier",2011
The Human Genome Project: a paradigm for information management in the life sciences,"The major product of the Human Genome Project will be a series of linked data sets containing 
the genetic and physical location of all genes on each chromosome, plus the complete 
nucleotide sequence of the genome for humans and several model organisms. Here we …",https://faseb.onlinelibrary.wiley.com/doi/abs/10.1096/fasebj.5.1.1991581,"ML Pearson, D Söll - The FASEB Journal, 1991 - Wiley Online Library",1991
Plant Genome DataBase Japan (PGDBj): a portal website for the integration of plant genome-related databases,"… We therefore chose to use DNA markers for plant genome DB integration and selected 
55 species belonging to 24 families. For 10 species, large-scale DNA marker data have 
been published by the Kazusa DNA Research Institute (Hayashi et al. , Sato et al. …",https://academic.oup.com/pcp/article-abstract/55/1/e8/1842120,"E Asamizu, H Ichihara, A Nakaya… - Plant and Cell …, 2014 - academic.oup.com",2014
An animal genome project?,"… S3-billion human genome project help build a better T-bone steak? That's what a group of 
animal … While the human genome project has been likened to the quest for the Holy Grail—the 
desire to find, … been slow in coming–more so even than in the plant sciences. For many …",https://search.proquest.com/openview/211dad7fc4f8f5e58972b37662c8f6ce/1?pq-origsite=gscholar&cbl=1256,"L Roberts - Science, 1990 - search.proquest.com",1990
Plant genome-scale metabolic networks,"… With the development of plant metabolomics, projects like the 10,000 plants genome 
sequencing project and the growth of other omics, the amount of data describing plant metabolism 
has never been so big. Genome-scale metabolic models (GEMs) are widely used to integrate …",https://www.sciencedirect.com/science/article/pii/S0065229620300756,"L Gerlin, C Frainay, F Jourdan, C Baroukh… - Advances in Botanical …, 2021 - Elsevier",2021
The genome project of Taenia solium,"… solium genome. Afterwards, we will evaluate the best strategy for the second stage, a full blown 
genome project. We have estimated the T. solium genome size by two different approaches: 
cytofluorometry on isolated cyton nuclei, as well as a probabilistic calculation based on …",https://www.sciencedirect.com/science/article/pii/S1383576905001236,"H Aguilar-Díaz, RJ Bobes, JC Carrero… - Parasitology …, 2006 - Elsevier",2006
A modified protocol for plant genome DNA extraction.,"… But it is relatively difficult to obtain high quality DNA from plant species which are rich in 
polysaccharides, polyphenols, and other … variety of plant species and evaluated by 
electrophoresis and spectrometer methods. We demonstrated that it is a common plant genomic …",https://www.cabdirect.org/cabdirect/abstract/20143305473,"LY Chen, MS Song, HG Zha, ZM Li - Plant Diversity and Resources, 2014 - cabdirect.org",2014
A genomic perspective on plant transcription factors,"… Data from the Arabidopsis genome project suggest that more than 5% of the genes of this 
plant encode transcription factors. The necessity for the use of genomic analytical approaches 
becomes clear when it is considered that less than 10% of these factors have been …",https://www.sciencedirect.com/science/article/pii/S1369526600001072,"JL Riechmann, OJ Ratcliffe - Current opinion in plant biology, 2000 - Elsevier",2000
Plant genome size estimation by flow cytometry: inter-laboratory comparison,"… The aim of this work was to evaluate the extent of variation and to test the reproducibility of 
DNA flow cytometry for genome size estimation. We analysed ratios of DNA content between 
nine plant species, ranging over 100fold in DNA content. Based on previous experience, all …",https://academic.oup.com/aob/article-abstract/82/suppl_1/17/211132,"J Doležel, J Greilhuber, S Lucretti, A Meister… - Annals of …, 1998 - academic.oup.com",1998
A host plant genome (Zizania latifolia) after a century‐long endophyte infection,"… To understand the molecular basis of the impact of the long-standing Ustilago interaction 
on the host genome, we sequenced the genome of a cultivated Zizania plant (Jiaobai cv. ‘Zhejiao2’) 
to 40-fold genome coverage (a total of 24.0 Gb of high-quality sequence data; Table S5)…",https://onlinelibrary.wiley.com/doi/abs/10.1111/tpj.12912,"L Guo, J Qiu, Z Han, Z Ye, C Chen, C Liu… - The Plant …, 2015 - Wiley Online Library",2015
Genome databases,"… T- he Human Genome Project will generate more data than any single project to date in 
biology. A major product of this 15-year, $3-billion … collect and maintain plant genome data 
through an experimental pilot database. In addition, NAL has expanded coverage of plant genome …",https://www.science.org/doi/pdf/10.1126/science.254.5029.201,"J Courteau - Science, 1991 - science.org",1991
"GeneBins: a database for classifying gene expression data, with application to plant genome arrays","To interpret microarray experiments, several ontological analysis tools have been developed. 
However, current tools are limited to specific organisms. We developed a bioinformatics 
system to assign the probe set sequences of any organism to a hierarchical functional …",https://bmcbioinformatics.biomedcentral.com/articles/10.1186/1471-2105-8-87,"N Goffard, G Weiller - BMC bioinformatics, 2007 - bmcbioinformatics.biomedcentral …",2007
Genome sequencing approaches and successes,"… lead to genome sequencing becoming increasingly common. The first plant genome to be 
sequenced was that of the model plant Arabidopsis … The AGI agreed to follow standards for 
sequence accuracy established by the human genome project to ensure less than one error per …",https://link.springer.com/protocol/10.1007/978-1-59745-427-8_18,"M Imelfort, J Batley, S Grimmond, D Edwards - Plant Genomics, 2009 - Springer",2009
Arabidopsis thaliana: a model plant for genome analysis,"… was recently articulated in the annual report for the Multinational Arabidopsis Genome Project 
(19). The short-term goals were to complete … processes involved in plant growth and 
development, and make advances obtained through the Arabidopsis genome project available to …",https://science.sciencemag.org/content/282/5389/662.abstract,"DW Meinke, JM Cherry, C Dean, SD Rounsley… - …, 1998 - science.sciencemag.org",1998
Plant genome editing using FnCpf1 and LbCpf1 nucleases at redefined and altered PAM sites,"… In this study, we used rice as a model system to investigate PAM requirements for FnCpf1 
for plant genome editing. We adopted the dual-Pol II promoter and ribozyme processing 
system (Tang et al., 2017) to express a rice codon-optimized FnCpf1 and a crRNA (Supplemental …",https://www.cell.com/molecular-plant/pdf/S1674-2052(18)30094-7.pdf,"Z Zhong, Y Zhang, Q You, X Tang, Q Ren, S Liu… - Molecular plant, 2018 - cell.com",2018
The Amborella genome: an evolutionary reference for plant biology,"… The answers to these questions are crucial for understanding angiosperm genome evolution 
and the diversification of flowering plants themselves. The Amborella Genome Project will 
address fundamental questions relating to the early evolution of gene content and genome …",https://genomebiology.biomedcentral.com/articles/10.1186/gb-2008-9-3-402,"DE Soltis, VA Albert… - Genome …, 2008 - genomebiology.biomedcentral.com",2008
Advances in the human genome project–A review,"… We would like to mention at this point that genetic mapping is also an important feature of 
human genome project and is not discussed … Plant Genome Research Program is under 
development at the NAL and ultimately will contain data for as many as seventy-one different plant …",https://link.springer.com/article/10.1023/A:1006834711989,"K Uddhav, S Ketan - Molecular biology reports, 1998 - Springer",1998
Tick genomics: the Ixodes genome project and beyond,"… between the superorders Acariformes and Parasitiformes may reveal pathways of genes 
essential for plant versus animal parasitism. … most genome projects initiated since the human 
genome project is the integration of genetic and physical mapping data with genome sequence …",https://www.sciencedirect.com/science/article/pii/S0020751907001853,"JP Van Zee, NS Geraci, FD Guerrero, SK Wikel… - International journal for …, 2007 - Elsevier",2007
Plant genome resources at the national center for biotechnology information,"… NCBI Web pages for plants, such as Plant Genome Central, complete the system by 
providing centralized access to NCBI's genomic … A summary of the scope of the plant genomic 
data available at NCBI with links to associated resources can be found on the Plant Genome …",https://academic.oup.com/plphys/article-abstract/138/3/1280/6103100,"DL Wheeler, B Smith-White, V Chetvernin… - Plant …, 2005 - academic.oup.com",2005
A new role for histone demethylases in the maintenance of plant genome integrity,"… All plant lines used in this study were derived from Arabidopsis thaliana, Col-0 accession. 
The T-DNA insertion lines ref6-1 (SALK_001018), elf6-3 (SALK_074694), atxr5 (SALK_130607) 
and atxr6 (SAIL_240_H01) have been previously described. The ref6-5 mutant (…",https://elifesciences.org/articles/58533,"J Antunez-Sanchez, M Naish, JS Ramirez-Prado… - Elife, 2020 - elifesciences.org",2020
The Gene Ontology's Reference Genome Project: a unified framework for functional annotation across species,"… Genome project, which brings together those independent efforts into a unified framework based 
on the evolutionary relationships between genes in these different organisms. The Reference 
Genome project … The goal of the Reference Genome project is to provide constantly up-…",https://journals.plos.org/ploscompbiol/article?id=10.1371/journal.pcbi.1000431,"Reference Genome Group of the Gene … - PLoS computational …, 2009 - journals.plos.org",2009
Missing links: the genetic architecture of flower and floral diversification,"To understand the genetic architecture of floral development, including the origin and subsequent diversification of the flower, data are needed not only for a few model organisms but also for gymnosperms, basal angiosperm lineages and early-diverging eudicots. We …",https://www.sciencedirect.com/science/article/pii/S1360138501020982,"…, Floral Genome Project Research Group - Trends in plant …, 2002 - Elsevier",2002
USDA plant genome research program,"… Discussions of the Plant Genome Science and Technology Coordinating Committee 
concluded that the project is more than mapping alone. It includes additional molecular biology 
techniques to pull out the gene system, characterize, and develop methods for transfer and gene …",https://lib.dr.iastate.edu/bot_pubs/28/,"S Altenbach, O Anderson, D Bigwood… - Advances in …, 1995 - lib.dr.iastate.edu",1995
Molecular digitization of a botanical garden: high-depth whole-genome sequencing of 689 vascular plant species from the Ruili Botanical Garden,"… The large dataset of vascular plant genomes generated in this study, which includes both 
high-depth whole-genome sequencing data and associated voucher specimens, is valuable 
for plant genome research and other applications. This project also provides insight into the …",https://academic.oup.com/gigascience/article-abstract/8/4/giz007/5300088,"H Liu, J Wei, T Yang, W Mu, B Song, T Yang, Y Fu… - …, 2019 - academic.oup.com",2019
The evolution of plant gene and genome sequencing,"… For this reason, Arabidopsis was an attractive first plant to sequence and it became NSF's plant 
version of the human genome project. In … areas of the genome that are difficult or impossible 
to sequence with the current technology. This is true of any plant genome sequenced to …",https://www.sciencedirect.com/science/article/pii/B9780124171633000032,"SA Goff, JC Schnable, KA Feldmann - Advances in Botanical Research, 2014 - Elsevier",2014
The first plant genome sequence—Arabidopsis thaliana,"… $100 million to develop a genome project equivalent to the National Institute of Health's 
human genome project. A series of meetings and … for developing the resources necessary 
to sequence the genome. As Arabidopsis was the first plant genome, and one of the earliest …",https://www.sciencedirect.com/science/article/pii/B9780124171633000044,"KA Feldmann, SA Goff - Advances in Botanical Research, 2014 - Elsevier",2014
Studying plant genome variation using molecular markers,"… plant cultivars. Variants of DNA amplification with arbitrary and specific primers allowing the 
rapid detection of numerous variable loci throughout the plant genome are … Since molecular 
markers can reveal changes in the plant genome when culturing cells in vitro [26, 60, 62], we …",https://link.springer.com/article/10.1007/s11177-005-0101-1,"SA Gostimsky, ZG Kokaeva, FA Konovalov - Russian Journal of Genetics, 2005 - Springer",2005
Munich information center for protein sequences plant genome resources. A framework for integrative and comparative analyses,"… plant genome databases since the Arabidopsis (Arabidopsis thaliana) genome project (… 
The MIPS plant genome resources started out as a collection of species-specific databases … 
Here, we present the design and implementation of the MIPS plant genome resources from the …",https://academic.oup.com/plphys/article-abstract/138/3/1301/6103114,"H Schoof, M Spannagl, L Yang, R Ernst… - Plant …, 2005 - academic.oup.com",2005
"[16] Splice junctions, branch point sites, and exons: Sequence statistics, identification, and applications to genome project","… To interpret the deluge of sequence information generated by the human genome project, it 
is important to be able to identify genes in uncharacterized sequences. Without this capability, 
the sequence information is of little value. For each sequence in GenBank, the splice sites …",https://www.sciencedirect.com/science/article/pii/0076687990830185/pdf?md5=4362c38cb916f0187b0d03a1a78fcb38&pid=1-s2.0-0076687990830185-main.pdf,"P Senapathy, MB Shapiro, NL Harris - 1990 - Elsevier",0
CRISPR/Cpf1-mediated DNA-free plant genome editing,"… plant genome editing protocol for producing transgenic plants, we hope to generate whole 
plants from Cpf1–RNP-transfected protoplasts in the near future and confirm the heritability of 
mutations. The Cpf1–RNP system will be used as an additional tool to edit the plant genome …",https://www.nature.com/articles/ncomms14406,"H Kim, ST Kim, J Ryu, BC Kang, JS Kim… - Nature …, 2017 - nature.com",2017
Endogenous pararetroviruses: two-faced travelers in the plant genome,"… Because of the growing diversity of EPRVs described 12, 13, there is an obvious need for 
a uniform nomenclature that distinguishes between sequences integrated in a plant genome 
and their homologous exogenous counterparts, and that indicates the potentially activatable …",https://www.sciencedirect.com/science/article/pii/S136013850600224X,"C Staginnus, KR Richert-Pöggeler - Trends in plant science, 2006 - Elsevier",2006
Plant gene and alternatively spliced variant annotator. A plant genome annotation pipeline for rice gene and alternatively spliced variant identification with cross …,"… In this study, we developed a plant genome annotation pipeline, Plant Gene and 
Alternatively Spliced Variant Annotator (PGAA), for gene/AS prediction in the rice genome. 
PGAA is a comparative method that first identifies AS variants and genes by use of the same-species-EST…",https://academic.oup.com/plphys/article-abstract/143/3/1086/6106579,"FC Chen, SS Wang, SM Chaw, YT Huang… - Plant …, 2007 - academic.oup.com",2007
Plant bioinformatics: from genome to phenome,"… genome project, it was rapidly adopted for crop species and remains one of the principal 
database formats for plant DNA sequences. … Ensembl was initially developed as part of the 
Human Genome Project, and its facility for viewing related data from several different organisms …",https://www.sciencedirect.com/science/article/pii/S0167779904000769,"D Edwards, J Batley - TRENDS in Biotechnology, 2004 - Elsevier",2004
PAM-less plant genome editing using a CRISPR–SpRY toolbox,"… Here, we demonstrate genome editing at relaxed PAM sites in rice (a monocot) and the 
Dahurian larch (a coniferous tree), using an … Thus, the SpRY toolbox breaks a PAM restriction 
barrier in plant genome engineering by enabling DNA editing in a PAM-less fashion. Evidence …",https://www.nature.com/articles/s41477-020-00827-4,"Q Ren, S Sretenovic, S Liu, X Tang, L Huang, Y He… - Nature Plants, 2021 - nature.com",2021
Grass genomic synteny illuminates plant genome function and evolution,"… This plant genome review will discuss the discovery of genomic colinearity and synteny, its 
biological origins, its numerous exceptions, and its uses for genome analysis. We will focus 
on the grasses because this is our area of greatest expertise and because this is also the …",https://link.springer.com/article/10.1007/s12284-008-9015-6,"JL Bennetzen, M Chen - Rice, 2008 - Springer",2008
Sequencing the rice genome,"… The rice genome is 3.5 times the size of the Arabidopsis genome and the third largest 
public genome project undertaken to date, behind … Another project involves the mapping of 
plant ESTs onto the rice physical map. Information on the ESTs is being integrated into the rice …",https://academic.oup.com/plcell/article-abstract/12/11/2011/6009367,NA Eckardt - 2000 - academic.oup.com,0
Toward a Cactus Genome Project: Utilizing Information from Wll-Studied Model Plants to Map the Opuntia Chromosomes,"… Comparative Mapping: Alignment of the Cactus Chromosomes with Those of Well-Studied 
Plants to Quickly Gain a Better Understanding of the Cactus Genome Perhaps the most 
important development in the field of plant genome analysis in the last five years has been the …",https://jpacd.net/jpacd/article/view/210,"AH Paterson, C Richardson - Journal of the Professional Association for …, 1996 - jpacd.net",1996
Sequencing the maize genome,"… In the rat project, which is arguably the most efficient mammalian genome project to date, a 
relatively high level of whole-genome coverage was … Even after a comprehensive genome 
project is initiated, gene-enrichment will continue to provide important information from diverse …",https://www.sciencedirect.com/science/article/pii/S1369526604000135,"RA Martienssen, PD Rabinowicz… - Current Opinion in Plant …, 2004 - Elsevier",2004
CRISPR–Cas12b enables efficient plant genome engineering,"… We decided to test AacCas12b, AaCas12b and BthCas12b for their capability in plant 
genome … Together, our data suggest that AaCas12b is a highly specific SSN for plant genome 
editing… In conclusion, Cas12b represents another promising CRISPR system for plant genome …",https://www.nature.com/articles/s41477-020-0614-6,"M Ming, Q Ren, C Pan, Y He, Y Zhang, S Liu, Z Zhong… - Nature plants, 2020 - nature.com",2020
The code of codes: Scientific and social issues in the human genome project,"… genome project, the ultimate goal of which is the acquisition of all the details of our ge- … 
documents on the European Community's genome project; Mark Cantley and his staff for … 
information on the early development of the genome project in the United States. Sheryl Cobb …",https://www.google.com/books?hl=zh-CN&lr=&id=3TdWmrDrvvkC&oi=fnd&pg=PA3&dq=plant+genome+project&ots=8xzL7F7_Bz&sig=Fqj8gZzKERZulu0zZiaf5X-n99s,"DJ Kevles, LE Hood - 1992 - books.google.com",0
NGO perspectives on the social and ethical dimensions of plant genome-editing,"… In particular, we use the controversial case of plant genome editing to investigate relevant 
NGO positions on the social and ethical dimensions of agricultural biotechnology and test 
whether these positions are extreme or misaligned with current expert ethical assessment. The …",https://link.springer.com/article/10.1007/s10460-019-09956-9,"R Helliwell, S Hartley, W Pearce - Agriculture and Human Values, 2019 - Springer",2019
Fundamentals of plant genome mapping.,"… Abstract : This chapter discusses the fundamentals of plant genome mapping, which include: 
the genome concepts; genetic mappinggenetic mapping… see more details, plant genetic 
resourcesplant genetic resourcesSubject Category: Miscellaneous … plant genetic resources …",https://www.cabdirect.org/cabdirect/abstract/20093155506,"C Kole, AG Abbott - … practices of plant genomics, Volume 1: genome …, 2008 - cabdirect.org",2008
A worm at the heart of the genome project.,"… Abstract : A project that will chart the complete DNA sequence of Caenorhabditis eleganscaenorhabditis 
elegansSubject Category: Organism Names … This project will help to map and sequence 
the human genome. … Genome analysis …",https://www.cabdirect.org/cabdirect/abstract/19922314851,"R Lewin - New Scientist, 1990 - cabdirect.org",1990
"The impact of transposable elements on the structure, evolution and function of the rice genome","… The availability of genomic resources for large germplasm collections opens a new 
perspective that can help us to understand some basic aspects of plant genome dynamics, 
as well as for the development of new strategies for gene discovery and crop improvement. …",https://nph.onlinelibrary.wiley.com/doi/abs/10.1111/nph.16356,"R Akakpo, MC Carpentier, Y Ie Hsing… - New …, 2020 - Wiley Online Library",2020
Plant polysaccharide degrading enzyme system of Thermobifida cellulosilytica TB100T revealed by de novo genome project data,"Thermobifidas are thermophilic, aerobic, lignocellulose decomposing actinomycetes. The Thermobifida genus includes four species: T. fusca, T. alba, T. cellulosilytica, and T. halotolerans. T. fusca YX is the far best characterized strain of this taxon and several …",https://akjournals.com/view/journals/066/46/3/article-p323.xml,"Á Tóth, E Baka, S Luzics, I Bata-Vidács, I Nagy… - Acta …, 2017 - akjournals.com",2017
Genome sequencing initiatives,"… Genome Initiative (AGI) announced the completion of the Arabidopsis thaliana genome 
sequence. Arabidopsis was the first plant genome to be … The multinational Brassica genome 
project was established in 2002. The Steering Committee selected B. rapa as the first Brassica …",https://www.google.com/books?hl=zh-CN&lr=&id=xDrOBQAAQBAJ&oi=fnd&pg=PA152&dq=plant+genome+project&ots=eKJqTUuKTp&sig=3k6WeC5MZIMuWbBZJtLsMoqevI0,"D Edwards, X Wang - Genetics, Genomics and Breeding of …, 2012 - books.google.com",2012
"The Bermuda Triangle: The pragmatics, policies, and principles for data sharing in the history of the human genome project","… The Bermuda Principles for DNA sequence data sharing are an enduring legacy of the 
Human Genome Project (HGP). They were … served the pragmatic goals of quality control and 
project coordination. Yet in the HGP human genome, we also argue, the Bermuda Principles …",https://link.springer.com/article/10.1007/s10739-018-9538-7,"KM Jones, RA Ankeny, R Cook-Deegan - Journal of the History of Biology, 2018 - Springer",2018
The Human Genome Project: ethical and social implications.,"… This article explores some of the potential moral and social ramifications of the Human 
Genome Project. Research on the human genome is generating important ethical and social 
questions of at least three distinct kinds. First, what genetic information should be generated, and …",https://www.ncbi.nlm.nih.gov/pmc/articles/pmc225990/,"TH Murray, E Livny - Bulletin of the Medical Library Association, 1995 - ncbi.nlm.nih.gov",1995
Plant genome studies: restriction fragment length polymorphism and chromosome mapping information,"… It is worth noting, however, that new methods For detecting DNA polymorphism are being 
developed (in large part through the human genome project) that do not rely on restriction 
sites (for an example, see [ 111). Some of these methods use the polymerase chain reaction (…",https://www.sciencedirect.com/science/article/pii/0959437X9180051M,"C Chang, EM Meyerowitz - Current opinion in genetics & development, 1991 - Elsevier",1991
The maize genome sequencing project,"On September 20, 2002, the National Science Foundation (NSF) announced the launch of the Maize Genome Sequencing Project. The momentum for this endeavor has been building within the maize (Zea mays) genetics and larger plant science community for several years …",https://academic.oup.com/plphys/article-abstract/130/4/1594/6110419,"VL Chandler, V Brendel - Plant Physiology, 2002 - academic.oup.com",2002
The strategy and current status of Brassica rapa genome project,"Brassica rapa is considered an ideal candidate to act as a reference species for Brassica genomic studies. Among the three basic Brassica species, B. rapa (AA genome) has the smallest genome (529 Mbp), compared to B. nigra (BB genome, 632 Mbp) and B. oleracea …",https://www.koreascience.or.kr/article/JAKO201021751975501.page,"JH Mun, SJ Kwon, BS Park - Journal of Plant Biotechnology, 2010 - koreascience.or.kr",2010
An advanced strategy for Brassica genome sequencing using comparative genomics with Arabidopsis,"… physical map with Arabidopsis, a model plant genome. This strategy was applied successfully 
for in silico … Genome Project (MBGP) is aiming to completely sequence the genome of 
Brassica rapa inbred line ‘Chiifu’ (http://www.brassica.info). The Korea Brassica Genome Project (…",https://www.actahort.org/books/706/706_6.htm,"TJ Yang, JS Kim, KB Lim, SJ Kwon, AJ Kim… - … on Brassicas and XIV …, 2004 - actahort.org",2004
